oa_code_2021,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_89,age_90_94,age_95_99,age_100_plus
S00135575,6,9,6,6,10,3,5,11,6,8,13,10,10,15,5,0,10,5,3,0,0
S00135576,5,9,5,4,5,14,7,7,7,7,12,7,11,12,8,5,2,2,1,0,0
S00135577,8,9,8,4,11,21,21,8,12,7,6,5,4,4,2,0,0,0,0,0,0
S00135578,4,9,1,5,5,7,7,7,8,7,10,12,12,3,7,14,4,1,1,0,0
S00135579,7,3,3,0,3,5,5,6,10,3,5,6,4,4,9,6,2,2,0,0,0
S00135580,9,5,6,4,8,7,13,9,7,7,11,6,10,11,7,9,5,3,0,0,0
S00135581,4,7,7,3,11,8,3,4,11,7,12,10,10,13,12,5,6,3,0,0,0
S00135582,4,1,3,3,5,9,7,8,5,5,11,10,5,1,1,2,0,1,0,0,0
S00135583,10,7,11,6,4,13,18,14,10,10,11,7,3,1,0,0,1,0,0,0,0
S00135584,16,13,8,1,3,15,15,8,8,5,17,9,5,2,2,4,2,2,0,0,0
S00135585,19,9,4,1,2,11,14,10,18,8,3,3,8,2,2,2,1,0,0,0,0
S00135586,7,5,5,2,5,4,6,7,6,4,4,12,8,7,4,9,9,6,2,0,0
