oa_code,church_of_scotland,roman_catholic,other_christian,buddhist,hindu,jewish,muslim,sikh,other_religion,no_religion,religion_not_stated
S00089350,50,5,17,1,1,0,0,0,0,34,15
S00089351,51,17,24,1,4,0,0,0,1,64,13
S00089352,60,10,15,0,0,0,0,0,0,61,12
S00089353,38,9,14,1,1,0,0,0,2,38,8
S00089354,37,6,7,0,0,0,0,0,0,31,8
S00089355,62,16,8,0,0,0,4,1,0,69,5
S00089356,27,0,6,0,0,0,1,0,0,26,1
S00089357,32,1,4,1,0,0,2,0,0,75,3
S00089358,34,1,2,0,0,0,1,0,0,47,0
S00089359,35,2,9,0,5,0,13,0,0,60,5
S00089360,36,12,6,0,5,0,1,0,2,45,6
S00089361,53,8,2,0,0,0,0,0,1,82,5
S00089362,76,8,10,0,0,0,10,0,0,22,8
S00089363,14,2,3,0,2,0,2,0,0,32,5
S00089364,17,13,7,0,6,0,1,0,0,48,4
S00089365,14,13,23,0,3,0,18,0,1,50,10
S00089366,15,17,6,0,4,0,7,0,1,48,7
S00089367,23,11,13,0,0,0,2,0,0,45,8
S00089368,13,4,6,0,0,0,0,0,0,31,4
S00089369,19,8,11,2,3,0,9,0,2,53,13
S00089370,40,12,5,0,0,0,1,0,1,42,6
S00089371,30,8,3,3,0,0,2,0,2,67,8
S00089372,24,4,2,0,0,0,0,0,0,27,6
S00089373,26,14,5,0,2,0,5,0,0,43,2
S00089374,42,5,15,1,0,0,0,0,1,26,7
S00089375,76,2,7,0,0,0,0,0,0,42,10
S00089376,61,4,10,0,0,0,3,0,1,46,10
S00089377,34,0,7,0,0,0,3,1,0,31,6
S00089378,49,3,16,0,0,0,0,0,0,27,8
S00089379,101,6,4,1,1,0,0,0,0,39,17
S00089380,66,4,3,0,2,1,0,0,0,65,15
S00089381,47,9,13,0,0,0,0,0,0,29,10
S00089382,62,2,13,0,1,0,0,0,0,42,6
S00089383,45,8,10,0,0,0,0,0,0,39,6
S00089384,44,6,10,0,0,0,0,0,0,37,9
S00089385,83,17,14,0,0,0,3,0,0,61,11
S00089386,75,11,15,3,0,0,2,0,4,79,19
S00089387,77,9,8,0,0,0,2,0,0,50,12
S00089388,51,8,5,1,12,0,0,0,0,73,9
S00089389,40,6,6,0,0,0,0,0,0,37,9
S00089390,28,12,8,1,0,0,5,0,1,27,11
S00089391,31,8,6,0,4,0,2,0,1,43,6
S00089392,18,4,0,0,0,0,0,0,0,56,7
S00089393,25,12,7,0,0,0,0,0,1,38,3
S00089394,27,2,6,0,0,0,0,0,0,30,3
S00089395,42,9,13,0,0,0,0,0,0,42,5
S00089396,19,6,1,0,0,0,1,0,0,39,6
S00089397,41,11,4,1,1,0,4,0,0,35,4
S00089398,54,9,1,4,0,0,0,0,0,26,2
S00089399,38,0,3,0,0,0,0,0,0,7,3
S00089400,37,7,14,0,1,1,7,0,1,24,6
S00089401,35,9,0,0,0,0,0,0,0,27,2
S00089402,27,4,0,0,0,0,0,0,0,48,5
S00089403,28,6,15,0,1,0,1,0,0,42,5
S00089404,38,5,7,2,0,0,0,0,0,38,5
S00089405,35,10,9,0,0,0,4,0,0,40,14
S00089406,47,11,27,0,0,0,0,0,0,50,10
S00089407,43,15,9,0,0,1,6,0,0,48,6
S00089408,22,14,13,0,4,0,9,0,0,37,5
S00089409,46,3,10,5,0,0,1,0,0,47,5
S00089410,33,16,19,1,0,0,4,0,0,40,8
S00089411,24,18,8,0,0,0,0,0,0,45,3
S00089412,83,8,25,0,5,0,5,1,0,52,11
S00089413,52,12,24,2,2,0,5,0,0,77,14
S00089414,26,1,1,0,0,0,0,0,0,26,9
S00089415,30,1,4,0,4,0,0,0,0,45,13
S00089416,36,5,8,0,0,0,5,0,0,75,22
S00089417,54,10,10,0,0,0,0,0,0,52,7
S00089418,52,12,22,0,0,0,7,0,0,47,9
S00089419,21,14,10,0,8,0,9,0,0,42,14
S00089420,55,4,5,1,3,0,4,0,0,51,19
S00089421,55,28,14,0,0,0,0,0,0,65,9
S00089422,33,9,6,0,0,0,0,0,1,35,4
S00089423,53,12,21,0,0,0,3,0,0,61,13
S00089424,45,7,18,1,0,0,3,0,0,60,10
S00089425,56,21,16,0,0,0,0,0,0,70,20
S00089426,43,7,25,0,0,0,0,0,0,113,1
S00089427,21,7,4,0,0,0,0,0,0,36,11
S00089428,19,8,9,0,3,0,1,0,0,32,11
S00089429,40,8,14,0,0,0,0,0,0,61,12
S00089430,55,7,18,0,0,0,0,0,0,37,9
S00089431,26,5,16,0,0,0,1,0,0,31,59
S00089432,14,4,6,0,0,0,0,0,0,31,6
S00089433,26,6,4,2,0,0,3,0,0,26,7
S00089434,28,10,5,0,0,0,0,0,0,26,11
S00089435,50,4,8,0,0,0,4,0,0,49,5
S00089436,50,8,8,0,3,0,0,0,0,42,6
S00089437,54,5,15,0,0,0,0,0,0,56,12
S00089438,54,18,14,0,0,0,0,0,0,54,14
S00089439,57,2,22,0,0,0,0,0,0,25,6
S00089440,17,16,3,1,0,0,0,0,0,18,4
S00089441,14,9,2,1,1,0,0,0,2,49,5
S00089442,23,3,17,1,0,0,0,0,0,53,9
S00089443,16,1,5,0,0,0,1,0,0,35,5
S00089444,16,10,18,0,2,0,6,0,1,72,7
S00089445,22,15,19,1,10,0,5,0,1,63,9
S00089446,12,14,16,0,2,1,4,0,0,53,7
S00089447,15,10,12,1,2,0,5,0,1,41,5
S00089448,13,8,17,3,0,0,5,0,0,54,4
S00089449,25,13,10,2,2,0,6,1,1,68,13
S00089450,8,15,3,2,2,0,0,0,0,56,8
S00089451,27,10,6,0,0,4,0,0,0,35,9
S00089452,26,7,1,0,4,0,1,0,0,54,6
S00089453,15,22,9,2,0,1,0,0,1,57,3
S00089454,20,9,2,0,0,0,0,0,1,37,7
S00089455,23,6,4,0,5,0,4,0,0,45,6
S00089456,22,6,9,0,14,0,3,0,0,61,13
S00089457,17,9,10,1,0,1,1,0,0,36,10
S00089458,9,14,6,2,2,0,4,0,2,38,2
S00089459,6,6,5,0,4,0,1,2,0,32,5
