oa_code	african_carribbean_black	asian	mixed	other	white
S00089791	2	6	0	10	114
S00089792	4	4	1	2	134
S00089793	0	12	2	0	138
S00089794	0	18	0	0	124
S00089795	0	38	0	2	264
S00089796	10	16	2	22	190
S00089797	6	10	0	2	162
S00089798	10	18	3	0	160
S00089799	0	0	2	0	278
S00089800	0	18	0	4	192
S00089801	0	0	0	0	166
S00089802	6	10	0	0	348
S00089803	2	2	0	0	162
S00089804	0	4	0	0	244
S00089805	0	0	1	0	144
S00089806	0	0	0	2	224
S00089807	0	4	0	0	158
S00089808	0	0	0	0	164
S00089809	4	8	1	0	170
S00089810	0	6	0	0	126
S00089811	6	8	0	0	140
S00089812	0	0	0	0	196
S00089813	0	8	3	0	322
S00089814	0	18	0	0	120
S00089815	0	8	0	0	180
S00089816	4	16	0	0	228
S00089817	26	0	0	0	222
S00089818	10	8	0	0	168
S00089819	6	48	0	2	292
S00089820	0	14	2	2	228
S00089821	0	0	1	0	226
S00089822	0	24	2	0	182
S00089823	0	14	0	0	194
S00089824	0	0	0	0	332
S00089825	2	2	0	0	290
S00089826	10	26	0	0	192
S00089827	0	0	0	6	246
S00089828	2	2	0	0	142
S00089829	24	0	1	0	160
S00089830	0	14	0	0	234
S00089831	0	0	0	0	228
S00089832	6	0	0	0	168
S00089833	0	8	0	2	280
S00089834	0	0	0	2	182
S00089835	0	12	0	0	168
S00089836	6	24	0	0	302
S00089837	2	0	0	0	306
S00089838	4	0	0	0	280
S00089839	4	0	0	0	170
S00089840	2	2	1	0	164
S00089841	0	26	0	2	234
S00089842	0	6	0	0	158
S00089843	6	4	0	0	272
S00089844	4	6	0	0	216
S00089845	10	4	0	0	260
S00089846	6	4	4	0	154
S00089847	8	0	0	0	156
S00089848	0	10	0	0	236
S00089849	12	0	0	0	256
S00089850	0	0	0	2	296
S00089851	0	0	0	0	164
S00089852	0	0	0	0	194
S00089853	0	0	0	2	258
S00089854	0	0	0	0	190
S00089855	2	0	3	0	256
S00089856	8	0	0	0	296
S00089857	8	8	0	6	210
S00089858	0	18	0	0	156
S00089859	0	24	0	0	208
S00089860	6	42	0	2	154
S00089861	0	16	0	0	154
S00089862	0	32	1	0	208
S00089863	4	52	0	0	260
S00089864	0	30	0	0	310
S00089865	14	34	0	2	224
S00089866	0	10	0	0	152
S00089867	2	32	0	0	198
S00089868	0	0	1	0	118
S00089869	34	56	1	4	222
S00089870	10	18	0	0	226
S00089871	28	10	0	0	214
S00089872	12	14	0	0	268
S00089873	8	68	0	16	268
S00089874	4	36	1	2	216
S00089875	20	18	0	18	210
S00089876	4	0	2	0	210
S00089877	0	0	0	0	212
S00089878	8	6	0	0	172
